,Gm#,Date,,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,HomeGame
133,134,201408280,boxscore,ATL,@,NYM,W,6,1,,70-64,2, 6.0,Minor,Niese,,2:31,N,"22,154",++,,False
134,135,201408290,boxscore,ATL,,MIA,W,5,2,,71-64,2, 6.0,Carpenter,Hatcher,Kimbrel,3:01,N,"26,278",+++,,True
135,136,201408300,boxscore,ATL,,MIA,L,0,4,,71-65,2, 7.0,Cosart,Harang,,2:54,N,"25,335",-,,True
136,137,201408310,boxscore,ATL,,MIA,W,1,0,,72-65,2, 6.0,Wood,Eovaldi,Kimbrel,2:33,N,"45,754",+,,True
137,138,201409010,boxscore,ATL,,PHI,L,0,7,,72-66,2, 7.0,Hamels,Teheran,,3:10,D,"34,178",-,,True
138,139,201409020,boxscore,ATL,,PHI,L,0,4,,72-67,2, 7.0,Kendrick,Minor,,2:57,N,"19,444",--,,True
139,140,201409030,boxscore,ATL,,PHI,W,7,4,,73-67,2, 7.0,Santana,Hollands,Kimbrel,3:08,D,"19,724",+,,True
140,141,201409050,boxscore,ATL,@,MIA,L,3,11,,73-68,2, 7.0,Cosart,Harang,,2:48,N,"19,951",-,,False
141,142,201409060,boxscore,ATL,@,MIA,W,4,3,10,74-68,2, 6.0,Carpenter,Morris,Kimbrel,3:28,N,"25,485",+,,False
142,143,201409070,boxscore,ATL,@,MIA,L,0,4,,74-69,2, 7.0,Hand,Teheran,,2:44,D,"20,013",-,,False
143,144,201409080,boxscore,ATL,@,WSN,L,1,2,,74-70,2, 8.0,Fister,Minor,Storen,2:39,N,"25,448",--,,False
144,145,201409090,boxscore,ATL,@,WSN,L,4,6,,74-71,2, 9.0,Zimmermann,Santana,Storen,3:02,N,"29,233",---,,False
145,146,201409100,boxscore,ATL,@,WSN,W,6,2,,75-71,2, 8.0,Harang,Strasburg,,3:01,D,"31,086",+,,False
146,147,201409120,boxscore,ATL,@,TEX,L,1,2,,75-72,2, 8.5,Klein,Carpenter,Feliz,2:59,N,"27,547",-,,False
147,148,201409130,boxscore,ATL,@,TEX,L,2,3,,75-73,2, 9.5,Bonilla,Teheran,Cotts,2:25,D,"31,595",--,,False
148,149,201409140,boxscore,ATL,@,TEX,L,3,10,,75-74,2, 10.5,Lewis,Minor,,3:00,D,"25,449",---,,False
149,150,201409150,boxscore,ATL,,WSN,L,2,4,,75-75,2, 11.5,Strasburg,Santana,Storen,3:06,N,"18,220",----,,True
150,151,201409160,boxscore,ATL,,WSN,L,0,3,,75-76,2, 12.5,Roark,Harang,Storen,2:36,N,"28,175",-----,,True
151,152,201409170,boxscore,ATL,,WSN,W,3,1,,76-76,2, 11.5,Wood,Detwiler,Kimbrel,2:43,N,"26,643",+,,True
152,153,201409190,boxscore,ATL,,NYM,L,0,5,,76-77,2, 13.0,Wheeler,Teheran,,3:03,N,"35,693",-,,True
153,154,201409200,boxscore,ATL,,NYM,L,2,4,,76-78,2, 14.0,Niese,Minor,Mejia,2:52,N,"33,794",--,,True
154,155,201409210,boxscore,ATL,,NYM,L,2,10,,76-79,2, 15.0,deGrom,Santana,,3:06,D,"35,354",---,,True
155,156,201409220,boxscore,ATL,,PIT,L,0,1,,76-80,2, 15.5,Liriano,Harang,Melancon,2:50,N,"20,252",----,,True
156,157,201409230,boxscore,ATL,,PIT,L,2,3,,76-81,2, 16.5,Cole,Wood,Watson,2:48,N,"23,029",-----,,True
157,158,201409240,boxscore,ATL,,PIT,W,6,2,,77-81,2, 16.0,Teheran,Locke,Kimbrel,3:17,N,"25,457",+,,True
158,159,201409250,boxscore,ATL,,PIT,L,1,10,,77-82,2, 16.5,Volquez,Hale,,3:27,N,"35,140",-,,True
159,160,201409260,boxscore,ATL,@,PHI,L,4,5,,77-83,2, 17.0,Garcia,Walden,Papelbon,2:41,N,"33,121",--,,False
160,161,201409270,boxscore,ATL,@,PHI,W,4,2,,78-83,2, 17.0,Harang,Burnett,Kimbrel,3:05,N,"33,761",+,,False
161,162,201409280,boxscore,ATL,@,PHI,W,2,1,,79-83,2, 17.0,Avilan,Hamels,Kimbrel,2:18,D,"38,082",++,,False
162,1,201403220,boxscore,ARI,,LAD,L,1,3,,0-1,5, 1.0,Kershaw,Miley,Jansen,2:49,N,"38,266",-,,True
163,2,201403230,boxscore,ARI,,LAD,L,5,7,,0-2,5, 2.0,Ryu,Cahill,,4:01,D,"38,079",--,,True
164,3,201403310,boxscore,ARI,,SFG,L,8,9,,0-3,5, 2.0,Machi,Reed,Romo,3:25,N,"48,541",---,,True
165,4,201404010,boxscore,ARI,,SFG,W,5,4,,1-3,4, 2.0,Miley,Gutierrez,Reed,2:46,N,"18,974",+,,True
166,5,201404020,boxscore,ARI,,SFG,L,0,2,,1-4,5, 3.0,Hudson,Cahill,Romo,2:49,N,"19,357",-,,True
167,6,201404030,boxscore,ARI,,SFG,L,5,8,,1-5,5, 3.5,Machi,Harris,,3:11,D,"19,131",--,,True
168,7,201404040,boxscore,ARI,@,COL,L,2,12,,1-6,5, 4.0,Nicasio,Delgado,,3:13,D,"49,130",---,,False
169,8,201404050,boxscore,ARI,@,COL,L,4,9,,1-7,5, 5.0,Kahnle,McCarthy,,3:09,N,"33,078",----,,False
170,9,201404060,boxscore,ARI,@,COL,W,5,3,,2-7,5, 4.0,Miley,Anderson,Reed,2:29,D,"29,779",+,,False
171,10,201404080,boxscore,ARI,@,SFG,L,3,7,,2-8,5, 5.0,Hudson,Cahill,,2:39,D,"42,166",-,,False
172,11,201404090,boxscore,ARI,@,SFG,W,7,3,,3-8,5, 4.0,Arroyo,Lincecum,Collmenter,2:52,N,"41,157",+,,False
173,12,201404100,boxscore,ARI,@,SFG,W,6,5,10,4-8,5, 3.0,Putz,Petit,Reed,4:10,N,"41,577",++,,False
174,13,201404110,boxscore,ARI,,LAD,L,0,6,,4-9,5, 4.0,Ryu,McCarthy,,2:26,N,"33,349",-,,True
